corpus_id,definition,h_grade,g_grade,class,post_root_morpheme,root_id,user_edited
1070,he/she is hitting him/her,,,hih-hil[imp2],hitting[hil],hit,x
1761,he/she is sending it,,,hvsk-nh,,|-solid,x
206,he/she is setting it down,,,hvsk-nh,,|-solid,x
1754,he/she is sending on object (refers to a long object),,,i-a-i,long[no-a],long,x
72,he/she is laying it down (refers to a long object),,,i-a-i,long[no-a],long,x
128,he/she is picking it up,,,rev-gi,,|-solid,x
1530,he/she has an object (refers to a solid object),,,stative-h,,|-solid,x
172,it’s taking time,'hil,,be-at,be-at,'hil|,
839,he/she is climbing around,'l,'l,be-at,be-at,'l|'l,
834,he/she is climbing it,'l,'l,go,,'l|'l,
858,he/she is arriving,'luh,'luh,become[inf4],,'luh|'luh,
914,he/she is burying him/her,'n,'n,cause[perf2],iterative,'n|'n,
956,he/she is rolling him/her,:hsakwale,:hsakwale,hih-lh,,:hsakwale|:hsakwale,
960,he/she is attaching the object behind it (refers to a flexible object),:hsanenat,:hsanenat,vsk,,:hsanenat|:hsanenat,
955,he/she is pushing him/her,:hsato,:hsato,sk-h-yh,,:hsato|:hsato,
623,he/she is crossing it (refers to a body of water),:hsoh,:hsoh,become[inf4],,:hsoh|:hsoh,
969,he/she is piling it up,:hsvt,:hsvt,hvsk-han,,:hsvt|:hsvt,
791,he/she is rowing,:kawe,:kawe,sk-s-hst[imp2],,:kawe|:kawe,
1774,he/she is sending it,:kha,:kha,hvsk-n,,:kha|:kha,
826,he/she is leaving a living thing behind,:khah,:khah,a,leaving,:khah|:khah,
827,he/she is giving him/her a living thing,:khan,:khan,apl,,:khan|:khan,
1699,he/she is belching,:khule,,become[inf2],,:khule|,
796,he/she is pecking it,:kwayo,:kwayo,hih-lh[imp2],,:kwayo|:kwayo,
829,he/she is wrapping him/her,:kwhen,:kwhen,vnh-vsk[inf2],,:kwhen|:kwhen,
809,he/she is piling it up,:l,:l,husk,,:l|:l,
355,they are gathering,:lh,:lh,cause[perf2],iterative,:lh|:lh,
804,he/she is gathering it,:lh,:lh,cause[perf2],iterative,:lh|:lh,
908,he/she is handling it (refers to a long object),:n,:n,be-at,be-at,:n|:n,
882,he/she is taking it somewhere by hand (refers to a long object),:n,:n,go,,:n|:n,
887,he/she is holding it in his/her hand (refers to a long object),:n,:n,stative-eh,,:n|:n,
1700,he/she is shivering,:naw,,i-a-i,,:naw|,
973,he/she is stabbing him/her,:t,:t,hih-hilh,,:t|:t,
764,he/she is plowing it,:taluk,:taluk,i-vka,,:taluk|:taluk,
767,he/she is turning it,:teyhst,:teyahst,cause,,:teyhst|:teyahst,
769,he/she is spinning it,:tikwalvteyhst,:tikwalvteyhst,cause,,:tikwalvteyhst|:tikwalvteyhst,
7,he/she is putting on a belt,:tlo,:tlo,hih-lh,,:tlo|:tlo,
770,he/she is strapping it,:tlo,:tlo,hih-lh,,:tlo|:tlo,
775,he/she is pitying him/her,:toli,:toli,become,,:toli|:toli,
10,he/she is praying,:tolihst,:tolihst,cause,,:tolihst|:tolihst,
1450,he/she is in prayer,:tolihst,:tolihst,stative[inf2],,:tolihst|:tolihst,
25,it’s ripping,:tsakal,:tsakal,ih-vh,,:tsakal|:tsakal,
820,he/she is ripping it,:tsakal,:tsakal,ih-vh,,:tsakal|:tsakal,
821,he/she is scratching him/her,:tsaliko,:tsaliko,sk-s-la,,:tsaliko|:tsaliko,
823,he/she is pricking him/her,:tsayo,:tsayo,hih-lh[imp2],,:tsayo|:tsayo,
757,he/she is straightening it,:tshinohs,:tshinohs,cause[perf2],,:tshinohs|:tshinohs,
824,he/she is wringing it out,:tsvwahst,:tsvwahst,cause,,:tsvwahst|:tsvwahst,
825,he/she is stinging it,:tsvy,:tsvy,sk-h,,:tsvy|:tsvy,
784,he/she is baking it,:tu,:tu,hvsk-nh[inf2],,:tu|:tu,
1708,he/she smells it,:whsv,,become,,:whsv|,
986,he/she is sewing it,:yew,:yewi,sk-s-a[inf2],,:yew|:yewi,
818,he/she is eating it (refers to a flexible object),:yh,:y,e-aka,,:yh|:y,
70,he/she is going around a curve,a,a,oh-ol[inf2],spin,a|a,
432,he/she is backing up,ahs,ahs,go,in,ahs|ahs-back,x
458,he/she is touching him/her,ahs,ahs,hih-hil,hitting[hil],ahs|ahs,
607,he/she is counting it,ahse,ahse,hih-lh,,ahse|ahse,
398,he/she is withdrawing (refers to a motion),ahse,ahse,ih-vh[inf2],change-alt,ahse|ahse,
397,he/she is including him/her (refers to in counting),ahsehst,ahsehst,cause,,ahsehst|ahsehst,
430,he/she is placing his/her hand on him/her,ahsihth,ahsihth,i-a-i,long,ahsihth|ahsihth,
431,he/she is slapping him/her,ahsihth,ahsihth,ih-il,hitting[il],ahsihth|ahsihth,
