ID,Source,Syllabary,Transliteration,English,Story,Chapter,Line,Author,Speaker,Locked,Source_ID,Tone
1,ced,Ꮎ ᎠᏂᏧᏣ ᏍᏆᏞᏍᏗ ᏓᎾᏁᎶᎲᏍᎦ.,na anichuja sgwahlesdi dananelohvsga.,The *boys* are playing ball.,,,,,,False,4.1,ná ani:chű:ja sgwà:hle̋:sdi dà:ná:ne:lo:hv́sga.
2,ced,ᏥᏔᎦ ᎠᏂᏨᏯ ᎤᎩᏥᏍᏕᏱ ᎠᎾᏴᎪᎢ.,jitaga anichvya ugitsdeyi anayhgoi.,*Roosters* crow at dawn.,,,,,,False,5.1,jitǎ:ga ani:chv:ya u:gitsde̋:yi à:ná:yhgó:’i.
3,ced,ᎯᎳ ᏧᎬᏩᎶᏗ ᏌᏊ ᎢᎦᏒᏘ ᎠᏓ?,hila jugvwalhdi sagwu igasvti ada,How much does one rick of *wood* cost?,,,,,,False,6.1,hila̋: ju:gv̋:walhdi sà:gwű i:gâ:sv̋:ti ada
4,ced,ᏥᏔᎦ ᎠᏂᏓ ᏧᏛᎯᏍᏙᏗ ᎠᏓᏅᏖᎭ.,jitaga anida jutvhisdohdi adanhteha.,He’s thinking about raising *chicks.*,,,,,,False,7.1,jitǎ:ga ani̋:da ju:tvhisdóhdi̋ à:da:nhtě:ha.
5,ced,ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ ᎤᏓᏗᏅᏒᎢ.,eladi wudina sgwahlesdi udadinvsvi,When he threw the ball down‚ it *bounced.*,,,,,,False,8.1,e:ladí wǔ:di̋:na sgwà:hle̋:sdi ù:dadi:nv̂:sv̌:’i
6,ced,ᎠᏲᎤᏟ ᎠᏍᎦᏯ ᎠᏓᏕᎬ ᏥᎪᏩᏘᎭ.,ayouhli asgaya adadegv jigowahtiha.,I see a lame man *limping.*,,,,,,False,9.1,ayo’ű:hli asgaya à:dadé:gv̋: ji:gòwahtǐ:ha.
7,ced,Ꮎ ᎠᎳᏍᎦᎵᏍᎩ ᏍᏓᏯ ᎠᏓᏗᏅᏗᎭ ᏍᏆᏞᏍᏗ.,na alasgalisgi sdaya adadinvdiha sgwahlesdi.,The ball player is *bouncing* the ball hard.,,,,,,False,10.1,ná alà:sgali̋:sgi sda̋:ya à:dadǐ:nv̂:dǐ:ha sgwà:hle̋:sdi.
8,ced,ᎤᏬᏚᎯ ᎠᏓᏠᏍᏗ ᎤᏓᏠᏢᎢ ᏗᎦᏚᎲ ᎤᏪᎾ.,uwoduhi adadlosdi udadlohlvi digaduhv uwena.,*She put on* a pretty *belt *when she went to town.,,,,,,False,11.1,uwo:dű:hi adà:dlǒ:sdi ù:dá:dlo:hlv̌:’i diga:dú:hv̋ ù:we̋:na.
9,ced,ᎠᏓᏠᏍᏗ ᎠᎩᏁᏒ ᏓᏂᏍᏓᏲᎯᎲᎢ.,adadlosdi aginesv danisdayohihvi.,I got a *belt* for Christmas.,,,,,,False,12.1,adà:dlǒ:sdi à:giné:sv́: dà:ni:sdayo:hihv̋:’i.
10,ced,ᎠᏓᏙᎵᏍᏗ ᎤᏔᏲᏢ ᎠᎵᏣᏙᎲᏍᎩ.,adadolisdi utayohlv alhjadohvsgi.,The preacher asked for *prayers.*,,,,,,False,13.1,ada:dǒ:lî:sdi ù:tayo:hlv́ alhjadő:hvsgi.
