merged_id,normalized_key,cn-app-dictionary.csv_syllabary,english,learning-to-use-the-cherokee-verb.csv_syllabary,number,object,person,sources,tense
fcbd34a1d83c322c,1d-ex|3p|present,,We (another and I) see them | We (another and I) see those things,ᎪᏍᏗᎪᏩᏘᎭ [We (another and I) see them] | ᏙᏍᏗᎪᏩᏘᎭ [We (another and I) see those things],,3p,1d-ex,learning-to-use-the-cherokee-verb.csv,present
fcbd34a1d83c322c,1d-in|3p|present,,We (you and I) see them | We (you and I) see those things,ᎨᏂᎪᏩᏘᎭ [We (you and I) see them] | ᏕᏂᎪᏩᏘᎭ [We (you and I) see those things],,3p,1d-in,learning-to-use-the-cherokee-verb.csv,present
fcbd34a1d83c322c,1p-ex|3p|present,,We (others and I) see them | We (others and I) see those things,ᎪᏥᎪᏩᏘᎭ [We (others and I) see them] | ᏙᏥᎪᏩᏘᎭ [We (others and I) see those things],,3p,1p-ex,learning-to-use-the-cherokee-verb.csv,present
fcbd34a1d83c322c,1p-in|3p|present,,We (you and I and another or others) see them | We (you and I and another or others) see those things,ᎨᏗᎪᏩᏘᎭ [We (you and I and another or others) see them] | ᏕᏗᎪᏩᏘᎭ [We (you and I and another or others) see those things],,3p,1p-in,learning-to-use-the-cherokee-verb.csv,present
fcbd34a1d83c322c,1s|3p|present,,I see them | I see those things,ᎦᏥᎪᏩᏘᎭ [I see them] | ᏕᏥᎪᏩᏘᎭ [I see those things],,3p,1s,learning-to-use-the-cherokee-verb.csv,present
fcbd34a1d83c322c,2d|3p|present,,You two see them | You two see those things,ᎨᏍᏗᎪᏩᏘᎭ [You two see them] | ᏕᏍᏗᎪᏩᏘᎭ [You two see those things],,3p,2d,learning-to-use-the-cherokee-verb.csv,present
fcbd34a1d83c322c,2p|3p|present,,You (more than two) see them | You (more than two) see those things,ᎨᏥᎪᏩᏘᎭ [You (more than two) see them] | ᏕᏥᎪᏩᏘᎭ [You (more than two) see those things],,3p,2p,learning-to-use-the-cherokee-verb.csv,present
fcbd34a1d83c322c,2s|3p|present,,You (singular) see them | You (singular) see those things,ᎦᎯᎪᏩᏘᎭ [You (singular) see them] | ᏕᎯᎪᏩᏘᎭ [You (singular) see those things],,3p,2s,learning-to-use-the-cherokee-verb.csv,present
65003d68052348e9,3s|none|present,ᎠᎭᏂ [here] | ᎠᏂ [here],here,,,none,3s,cn-app-dictionary.csv,present
588888436053e6b4,1d-ex|3p|present,,We (another and I) are killing them | We (another and I) are killing those things,ᏕᎪᏍᏗᎢᎭ [We (another and I) are killing them] | ᏙᏍᏗᎯᎭ [We (another and I) are killing those things],,3p,1d-ex,learning-to-use-the-cherokee-verb.csv,present
588888436053e6b4,1d-in|3p|present,,We (you and I) are killing them | We (you and I) are killing those things,ᏕᎨᏂᎢᎭ [We (you and I) are killing them] | ᏕᏂᎯᎭ [We (you and I) are killing those things],,3p,1d-in,learning-to-use-the-cherokee-verb.csv,present
588888436053e6b4,1p-ex|3p|present,,We (others and I) are killing them | We (others and I) are killing those things,ᏕᎪᏥᎢᎭ [We (others and I) are killing them] | ᏙᏥᎯᎭ [We (others and I) are killing those things],,3p,1p-ex,learning-to-use-the-cherokee-verb.csv,present
588888436053e6b4,1p-in|3p|present,,We (you and I and another or others) are killing them | We (you and I and another or others) are killing those things,ᏕᎨᏗᎢᎭ [We (you and I and another or others) are killing them] | ᏕᏗᎯᎭ [We (you and I and another or others) are killing those things],,3p,1p-in,learning-to-use-the-cherokee-verb.csv,present
588888436053e6b4,1s|3p|present,,I am killing them | I am killing those things,ᏕᎦᏥᎢᎭ [I am killing them] | ᏕᏥᎢᎭ [I am killing those things],,3p,1s,learning-to-use-the-cherokee-verb.csv,present
588888436053e6b4,2d|3p|present,,You two are killing them | You two are killing those things,ᏕᎨᏍᏗᎢᎭ [You two are killing them] | ᏕᏍᏗᎯᎭ [You two are killing those things],,3p,2d,learning-to-use-the-cherokee-verb.csv,present
588888436053e6b4,2s|3p|present,,You (singular) are killing them | You (singular) are killing those things,ᏕᎦᎯᎢᎭ [You (singular) are killing them] | ᏕᎯᎯᎭ [You (singular) are killing those things],,3p,2s,learning-to-use-the-cherokee-verb.csv,present
0334996cc2fa033d,3s|3s|present,ᎠᏲᎭ [he/she is looking for him/her],he/she is looking for him/her | S/he looks for it,ᎤᏲᎭ [S/he looks for it],,3s,3s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,present
0334996cc2fa033d,1s|3s|present,ᏥᏲᎭ [I’m looking for him/her],I’m looking for him/her | I am looking for it,ᎠᎩᏲᎭ [I am looking for it],,3s,1s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,present
0334996cc2fa033d,3s|3s|completive past,ᎤᏯᎸᎢ [he/she looked for him/her],he/she looked for him/her | S/he looked for it,ᎤᏲᎸᎢ [S/he looked for it],,3s,3s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,completive past
0334996cc2fa033d,3s|3s|habitual,ᎠᏲᎰᎢ [he/she looks for him/her],he/she looks for him/her | S/he looks for it (habitually),ᎤᏲᎰᎢ [S/he looks for it (habitually)],,3s,3s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,habitual
0334996cc2fa033d,2s|3s|imperative,ᎯᏲᎦ [look for him/her!],look for him/her! | You (singular) look for it right now!,ᏣᏲᎦ [You (singular) look for it right now!],,3s,2s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,imperative
0334996cc2fa033d,3s|3s|infinitive,ᎤᏯᏍᏗ [to look for someone],to look for someone | For him/her to look for it,ᎤᏲᏍᏗ [For him/her to look for it],,3s,3s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,infinitive
0334996cc2fa033d,1d-ex|3p|present,,We (another and I) are looking for them | We (another and I) are looking for those (things),ᏙᏍᏗᏲᎭ [We (another and I) are looking for them] | ᏙᎩᏂᏲᎭ [We (another and I) are looking for those (things)],,3p,1d-ex,learning-to-use-the-cherokee-verb.csv,present
0334996cc2fa033d,1d-in|3p|present,,We (you and I) are looking for them | We (you and I) are looking for those things,ᎨᏂᏲᎭ [We (you and I) are looking for them] | ᏕᎩᏂᏲᎭ [We (you and I) are looking for those things],,3p,1d-in,learning-to-use-the-cherokee-verb.csv,present
0334996cc2fa033d,1p-ex|3p|present,,We (others and I) are looking for them | We (others and I) are looking for those (things),ᏙᏥᏲᎭ [We (others and I) are looking for them] | ᏙᎩᏲᎭ [We (others and I) are looking for those (things)],,3p,1p-ex,learning-to-use-the-cherokee-verb.csv,present
0334996cc2fa033d,1p-in|3p|present,,We (you and I and another or others) look for them | We (you and I and another or others) look for those (things),ᏕᏗᏲᎭ [We (you and I and another or others) look for them] | ᏕᎩᏲᎭ [We (you and I and another or others) look for those (things)],,3p,1p-in,learning-to-use-the-cherokee-verb.csv,present
0334996cc2fa033d,1s|3p|present,,I am looking for them | I am looking for those things,ᎦᏥᏲᎭ [I am looking for them] | ᏓᎩᏲᎭ [I am looking for those things],,3p,1s,learning-to-use-the-cherokee-verb.csv,present
0334996cc2fa033d,2d|3p|present,,You (two) look for them | You (two) look for those (things),ᎨᏍᏗᏲᎭ [You (two) look for them] | ᏕᏍᏗᏲᎭ [You (two) look for those (things)],,3p,2d,learning-to-use-the-cherokee-verb.csv,present
0334996cc2fa033d,2p|3p|present,,You (more than two) are looking for them | You (more than two) are looking for those things,ᎨᏥᏲᎭ [You (more than two) are looking for them] | ᏕᏥᏲᎭ [You (more than two) are looking for those things],,3p,2p,learning-to-use-the-cherokee-verb.csv,present
0334996cc2fa033d,2s|3p|present,,You (singular) look for them | You (singular) look for those (things),ᎦᎯᏲᎭ [You (singular) look for them] | ᏕᏥᏲᎭ [You (singular) look for those (things)],,3p,2s,learning-to-use-the-cherokee-verb.csv,present
0334996cc2fa033d,3p|3p|present,,They look for them | They look for those things,ᏓᏂᏲᎭ [They look for them] | ᏚᏂᏲᎭ [They look for those things],,3p,3p,learning-to-use-the-cherokee-verb.csv,present
0334996cc2fa033d,3s|3p|present,,S/he looks for them | S/he looks for those things,ᏓᏲᎭ [S/he looks for them] | ᏚᏲᎭ [S/he looks for those things],,3p,3s,learning-to-use-the-cherokee-verb.csv,present
6b0477defd6e8951,3s|3s|completive past,"ᎤᎦᏘᏛᎢ [he/she waited for him/her, he/she waited for it]","he/she waited for him/her, he/she waited for it | He/she waited for it",ᎤᎦᏘᏴᏛᎢ [He/she waited for it],,3s,3s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,completive past
6b0477defd6e8951,3s|3s|habitual,"ᎠᎦᏘᏲᎢ [he/she waits for him/her, he/she waits for it]","he/she waits for him/her, he/she waits for it | He/she waits for it (habitually)",ᎠᎦᏘᏗᏍᎪᎢ [He/she waits for it (habitually)],,3s,3s,cn-app-dictionary.csv | learning-to-use-the-cherokee-verb.csv,habitual
6b0477defd6e8951,1d-ex|3p|present,,We (another and I) are waiting for them | We (another and I) are waiting for those things,ᎪᏍᏗᎦᏘᏯ [We (another and I) are waiting for them] | ᏙᏍᏗᎦᏘᏯ [We (another and I) are waiting for those things],,3p,1d-ex,learning-to-use-the-cherokee-verb.csv,present
6b0477defd6e8951,1d-in|3p|present,,We (you and I) are waiting for them | We (you and I) are waiting for those things,ᎨᏂᎦᏘᏯ [We (you and I) are waiting for them] | ᏕᏂᎦᏘᏯ [We (you and I) are waiting for those things],,3p,1d-in,learning-to-use-the-cherokee-verb.csv,present
6b0477defd6e8951,1p-ex|3p|present,,We (others and I) are waiting for them | We (others and I) are waiting for those things,ᎪᏥᎦᏘᏯ [We (others and I) are waiting for them] | ᏙᏥᎦᏘᏯ [We (others and I) are waiting for those things],,3p,1p-ex,learning-to-use-the-cherokee-verb.csv,present
6b0477defd6e8951,1p-in|3p|present,,We (you and I and another or others) are waiting for them | We (you and I and another or others) are waiting for those things,ᎨᏗᎦᏘᏯ [We (you and I and another or others) are waiting for them] | ᏕᏗᎦᏘᏯ [We (you and I and another or others) are waiting for those things],,3p,1p-in,learning-to-use-the-cherokee-verb.csv,present
6b0477defd6e8951,1s|3p|present,,I am waiting for them | I am waiting for those things,ᎦᏥᎦᏘᏯ [I am waiting for them] | ᏕᏥᎦᏘᏯ [I am waiting for those things],,3p,1s,learning-to-use-the-cherokee-verb.csv,present
6b0477defd6e8951,2p|3p|present,,You (more than two) are waiting for them | You (more than two) are waiting for those things,ᎨᏥᎦᏘᏯ [You (more than two) are waiting for them] | ᏕᏥᎦᏘᏯ [You (more than two) are waiting for those things],,3p,2p,learning-to-use-the-cherokee-verb.csv,present
6b0477defd6e8951,2s|3p|present,,You (singular) are waiting for them | You (singular) are waiting for those things,ᎦᎯᎦᏘᏯ [You (singular) are waiting for them] | ᏕᎯᎦᏘᏯ [You (singular) are waiting for those things],,3p,2s,learning-to-use-the-cherokee-verb.csv,present
73c30413ce7136dd,1d-in|3p|present,,We (you and I) are stopping them | We (you and I) are stopping those things,ᎨᎾᎴᏫᏍᏙᏗᎭ [We (you and I) are stopping them] | ᏕᎾᎴᏫᏍᏙᏗᎭ [We (you and I) are stopping those things],,3p,1d-in,learning-to-use-the-cherokee-verb.csv,present
73c30413ce7136dd,1p-in|3p|present,,We (you and I and another or others) are stopping them | We (you and I and another or others) are stopping those things,ᎨᏓᎴᏫᏍᏙᏗᎭ [We (you and I and another or others) are stopping them] | ᏕᏓᎴᏫᏍᏙᏗᎭ [We (you and I and another or others) are stopping those things],,3p,1p-in,learning-to-use-the-cherokee-verb.csv,present
73c30413ce7136dd,1s|3p|present,,I am stopping them | I am stopping those things,ᎦᏥᏯᎴᏫᏍᏙᏗᎭ [I am stopping them] | ᏕᎦᎴᏫᏍᏙᏗᎭ [I am stopping those things],,3p,1s,learning-to-use-the-cherokee-verb.csv,present
