audio_file,type,merged_id,normalized_key,sentence_id
Word_0100.01.m4a,base_form,8d0bc60dd9228319,,
1552.1.m4a,base_form,ad38cb8fad5fefb2,,
Word_CNLD_boy_4.1.m4a,base_form,b8ea59d860ba3d25,,
0005.1.m4a,base_form,9fbc053b0248efe2,,
Word_0006.1.m4a,base_form,c73307b1cc0b6ee1,,
0007.1.m4a,base_form,6032a2e5be2929c2,,
Word_0010.1.m4a,base_form,30d423acd3adf296,,
Word_0012.1.m4a,base_form,16245648be73c139,,
Word_0013.1.m4a,base_form,5197d1054c8f3845,,
Word_0016.1.m4a,base_form,e7b7ae6ab327a5c0,,
0017.1.m4a,base_form,d53ed5f7038fe5f2,,
Word_0018.1.m4a,base_form,b829803ea8edcd44,,
Word_CNLD_gift_19.1.m4a,base_form,ab2837c47a09d47a,,
Word_CNLD_fan_21.1.m4a,base_form,8ea3256ee12db92d,,
Word_0024.1.m4a,base_form,a315955ec891de56,,
Word-0027.1.m4a,base_form,17f352435ae4d53c,,
Word_0028.1.m4a,base_form,20fcdaa9f10f8e73,,
Word_0030.1.m4a,base_form,5f94225a5d942562,,
0032.1.m4a,base_form,889259edb8b08911,,
Word_CNLD_store_35.1.m4a,base_form,0e65e797db6bb930,,
0039.1.m4a,base_form,b299252fb51cd5e6,,
0040.1.m4a,base_form,692bfeef6c6a901e,,
Word_0041.1.m4a,base_form,56bbfbff8eb643f3,,
Word_0042.1.m4a,base_form,b0fc45028f893c0c,,
Word_0043.1.m4a,base_form,b98e8ebd66548398,,
0044.1.m4a,base_form,9a2fb077eb3a67e4,,
Word_0045.1.m4a,base_form,1d0b1a36ef01cb24,,
Word_0047.1.m4a,base_form,8e9c9785c69a6436,,
0051.1.m4a,base_form,6c080091945371a7,,
0053.1.m4a,base_form,2245a077e719e51b,,
Word_0055.1.m4a,base_form,50c3fa12efd8fdf6,,
0056.1.m4a,base_form,22cdab7c28cbf3c0,,
Word_0057.1.m4a,base_form,53f21936c19d75dc,,
0061.1.m4a,base_form,1a8ee04f79e546c6,,
Word_0062.1.m4a,base_form,b3235050b6bb0de2,,
Word_0068.1.m4a,base_form,f5e756b4fdfd35dd,,
0070.1.m4a,base_form,628354d6cba0bf8c,,
0072.1.m4a,base_form,ae2b133b57fc7701,,
0075.1.m4a,base_form,6a1ef36b2ab737c0,,
Word_0080.1.m4a,base_form,3875233daac0346e,,
0085.1.m4a,base_form,18bbdb492391d814,,
Word_0087.1.m4a,base_form,64bd44efa1b63764,,
Word_0088.1.m4a,base_form,8a6c765a0ddce3cf,,
0090.1.m4a,base_form,bb5d72529b002ce7,,
Word_0093.1.m4a,base_form,09f798c74b01bf1e,,
Word_0094.1.m4a,base_form,f4c107715b1b287d,,
Word_0095.1.m4a,base_form,782f7cea419377f8,,
Word_0096.1.m4a,base_form,52826352d34a3127,,
0097.1.m4a,base_form,20cdd561a4d9fca0,,
Word_0099.1.m4a,base_form,ecb4abaea0562db4,,
0101.1.m4a,base_form,26a303e52db87c70,,
0106.1.m4a,base_form,7f1336726d7e7e9e,,
Word_0107.1.m4a,base_form,7104fb63adba3626,,
Word_0108.1.m4a,base_form,fe11b2b82da4cf61,,
0109.1.m4a,base_form,dad05922743095aa,,
Word_0111.1.m4a,base_form,a8b152b1fbbd37b9,,
Word_0112.1.m4a,base_form,8ac5a89c3007acb7,,
Word_0115.1.m4a,base_form,69d113d3cc7b75f8,,
Word_0118.1.m4a,base_form,2c79412072ca10bf,,
Word_0120.1.m4a,base_form,c5a639aabc366f6d,,
Word_0123.1.m4a,base_form,41266b7e36c2ecd7,,
Word_0124.1.m4a,base_form,fabc06528327e820,,
Word_0125.1.m4a,base_form,6bd614b452335b59,,
Word_0126.1.m4a,base_form,af2d83b2ae561a37,,
0127.1.m4a,base_form,082dcf25e079f74f,,
Word_0128.1.m4a,base_form,81fcb6cc4f89adfb,,
Word_0129.1.m4a,base_form,b635500252a18ec0,,
0130.1.m4a,base_form,4c14c0fec6b8e32b,,
0134.1.m4a,base_form,32aaf37b823e2df7,,
Word_0136.1.m4a,base_form,82f00cb803218c4e,,
Word_0137.1.m4a,base_form,e070eef42d0a667c,,
0139.1.m4a,base_form,2cb5e89ee99782d9,,
Word_0141.1.m4a,base_form,5602141f079e4b0f,,
0142.1.m4a,base_form,6309e94bc5491e83,,
0144.1.m4a,base_form,d78dbd8c2a80af93,,
Word_0145.1.m4a,base_form,c7bc6eea412ff4b6,,
0146.1.m4a,base_form,525c6261d1c113fb,,
Word_0147.1.m4a,base_form,36f12635220220d6,,
0149.1.m4a,base_form,cf141fd724f1cf49,,
0151.1.m4a,base_form,d40f7dee0b8113fd,,
Word_0152.1.m4a,base_form,4eda248dd36bfaf8,,
0156.1.m4a,base_form,6ba5a17660c615f8,,
Word_0157.1.m4a,base_form,9018cb83b4fc56c3,,
Word_0160.1.m4a,base_form,93c1ef6997baf6d6,,
Word_0162.1.m4a,base_form,65003d68052348e9,,
0163.1.m4a,base_form,0acdb1e2a68d0da3,,
Word_0165.1.m4a,base_form,86329e8364457dac,,
Word_0168.1.m4a,base_form,6db12884f177adc6,,
Word_0170.1.m4a,base_form,f23b24c1c0386c37,,
Word_0174.1.m4a,base_form,1f033de7e2f4537a,,
0176.1.m4a,base_form,31b43993a827246b,,
Word_0180.1.m4a,base_form,6bc7d42dda01ac3e,,
0184.1.m4a,base_form,8827a313cd827cef,,
0187.1.m4a,base_form,35985e0bb75e990e,,
Word_0190.1.m4a,base_form,66e8114e65921f53,,
Word_0194.1.m4a,base_form,5460f48b2515a739,,
Word_CNLD_Translation_0199.1.m4a,base_form,f696f6f50dfe019f,,
Word_0205.1.m4a,base_form,696ea2a9973ae7d8,,
0208.1.m4a,base_form,c582ec578f8125b4,,
Word_CNLD_Drum_0209.1.m4a,base_form,c7ffaf2937a33497,,
Word_0219.1.m4a,base_form,f13e7fa98344e139,,
Word_0221.1.m4a,base_form,a5adc2c3ec36d96b,,
0227.1.m4a,base_form,1a66735665e778d7,,
0231.1.m4a,base_form,871ab4fd59562ff3,,
0232.1.m4a,base_form,1499590597bc72e2,,
Word_0233.1.m4a,base_form,0e91e727936cf5cb,,
0235.1.m4a,base_form,2877e3daff7d2c2e,,
Word_0237.2.m4a,base_form,a72f73317df99b29,,
Word_0242.1.m4a,base_form,b03af5820d0e7d09,,
0243.1.m4a,base_form,df78c7500909f083,,
0247.1.m4a,base_form,1dc9c25e673da60b,,
Word_0248.1.m4a,base_form,2887f172b43bf909,,
Word_0249.1.m4a,base_form,b0addfe89d894f7d,,
Word_0250.1.m4a,base_form,f75c1b4f49aa5c09,,
Word_0251.1.m4a,base_form,6c990992fda2c8e6,,
Word_0252.1.m4a,base_form,5326dd518b1633b2,,
Word_0253.1.m4a,base_form,d867136dd5ea738a,,
Word_0254.1.m4a,base_form,2fa151c987a74f08,,
Word_0255.1.m4a,base_form,a42e80d2733545c5,,
Word_CNLD_Flower_257.1.m4a,base_form,b20c3c8e475585f9,,
Word_0258.1.m4a,base_form,5757aa3d954dfdb8,,
Word_0262.2.m4a,base_form,face012b7a598770,,
Word_0264.1.m4a,base_form,badd26e614faecf6,,
Word_0265.1.m4a,base_form,1d642ab1923a7bb8,,
Word_0267.1.m4a,base_form,2a3a59d953282900,,
0269.1.m4a,base_form,b700027706b7fc35,,
Word_0271.1.m4a,base_form,d2d3333cd7532a5b,,
Word_0272.2.m4a,base_form,c357b7970f64bde3,,
Word_0273.1.m4a,base_form,4dc5056c8975a69e,,
Word_0274.1.m4a,base_form,0b2b12ee9220402b,,
Word_0275.1.m4a,base_form,ecdfb0dc8ae179c8,,
Word_0276.1.m4a,base_form,0da6f1d692644b07,,
Word_0277.1.m4a,base_form,2dfc49747319c444,,
